"","adult.A_G","adult.A_H","adult.A_I","adult.B_G","adult.B_H","adult.B_I","adult.C_G","adult.C_H","adult.C_I","sen.A_D","sen.A_E","sen.A_F","sen.B_D","sen.B_E","sen.B_F","sen.C_D","sen.C_E","sen.C_F","sen_perc","ad_perc"
"ACTA2",1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,66.6666666666667,100
"ADAMTS1",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,11.1111111111111,33.3333333333333
"ATP6AP1",1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,66.6666666666667,44.4444444444444
"B2M",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,100
"BGN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,77.7777777777778,100
"BHLHE40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAV1",0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,88.8888888888889,22.2222222222222
"CDKN2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDKN2B",1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,11.1111111111111,77.7777777777778
"COL1A1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"COL1A2",1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,77.7777777777778,77.7777777777778
"COL4A1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,66.6666666666667,100
"COL5A1",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,33.3333333333333,100
"CTGF",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,66.6666666666667,100
"DCN",1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,11.1111111111111,88.8888888888889
"EGR2",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,77.7777777777778,100
"ELN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,88.8888888888889,100
"ENG",1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,44.4444444444444,100
"ETS1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,22.2222222222222,0
"FBLN1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"FBN1",1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,55.5555555555556,77.7777777777778
"FGF2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100
"FN1",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,11.1111111111111,100
"GADD45B",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,22.2222222222222,22.2222222222222
"GUSB",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,100
