"","tgfb_perc","ctrl_perc"
"ACTA2",100,100
"ADAMTS1",66.6666666666667,66.6666666666667
"ATP6AP1",33.3333333333333,0
"B2M",0,100
"BGN",100,33.3333333333333
"BHLHE40",33.3333333333333,33.3333333333333
"CAV1",66.6666666666667,66.6666666666667
"CDKN2A",0,0
"CDKN2B",66.6666666666667,66.6666666666667
"COL1A1",100,100
"COL1A2",100,66.6666666666667
"COL4A1",100,66.6666666666667
"COL5A1",66.6666666666667,33.3333333333333
"CTGF",100,100
"DCN",0,0
"EGR2",33.3333333333333,0
"ELN",100,0
"ENG",100,66.6666666666667
"ETS1",33.3333333333333,0
"FBLN1",66.6666666666667,100
"FBN1",100,66.6666666666667
"FGF2",66.6666666666667,0
"FN1",100,33.3333333333333
"GADD45B",0,66.6666666666667
"GUSB",0,0
"HAS2",100,66.6666666666667
"ID1",0,0
"IL6",0,0
"ITGA1",100,66.6666666666667
"ITGA2",0,66.6666666666667
"JUN",100,66.6666666666667
"JUNB",66.6666666666667,0
"LARP6",66.6666666666667,0
"LOXL1",100,100
"LOXL2",66.6666666666667,0
"LTBP2",100,66.6666666666667
"MMP1",100,100
"MMP13",33.3333333333333,0
"MMP14",66.6666666666667,0
"MMP2",66.6666666666667,66.6666666666667
"NOX4",66.6666666666667,66.6666666666667
"PDGFA",100,0
"PMEPA1",66.6666666666667,66.6666666666667
"PPIA",0,0
"PPP3CA",66.6666666666667,0
"PSMD14",66.6666666666667,33.3333333333333
"PTEN",66.6666666666667,0
"RARA",33.3333333333333,0
"RARG",100,66.6666666666667
"RHOB",66.6666666666667,33.3333333333333
"SERPINE1",100,100
"SERPINE2",100,100
"SKI",66.6666666666667,33.3333333333333
"SKIL",66.6666666666667,33.3333333333333
"SMAD3",66.6666666666667,0
"SMAD7",0,0
"SPARC",100,66.6666666666667
"TGFB1",100,66.6666666666667
"TGFBR1",100,33.3333333333333
"TGFBR2",100,33.3333333333333
"THBS1",100,66.6666666666667
"THBS2",100,66.6666666666667
"TIMP1",66.6666666666667,66.6666666666667
"TIMP3",66.6666666666667,66.6666666666667
"TP53BP1",0,0
"VCAN",100,33.3333333333333
"VEGFA",66.6666666666667,0
"VIM",66.6666666666667,0
