,Assay,Sample,Ct,treatment,time,cell_line,replicate
13341,COL1A2,TGFb_72_A_4,19.29959,TGFb,72,A,4
13342,COL4A1,TGFb_72_A_4,22.87422,TGFb,72,A,4
13343,MMP1,TGFb_72_A_4,29.26439,TGFb,72,A,4
13344,MMP14,TGFb_72_A_4,22.82763,TGFb,72,A,4
13345,NOX4,TGFb_72_A_4,24.30912,TGFb,72,A,4
13346,PMEPA1,TGFb_72_A_4,24.26011,TGFb,72,A,4
13347,TIMP1,TGFb_72_A_4,21.14932,TGFb,72,A,4
13348,FGF2,TGFb_72_A_4,25.00941,TGFb,72,A,4
13350,GUSB,TGFb_72_A_4,27.16461,TGFb,72,A,4
13351,ID1,TGFb_72_A_4,26.78329,TGFb,72,A,4
13352,SKI,TGFb_72_A_4,24.95498,TGFb,72,A,4
13353,SMAD3,TGFb_72_A_4,26.02747,TGFb,72,A,4
13354,SPARC,TGFb_72_A_4,19.73621,TGFb,72,A,4
13355,TGFBR1,TGFb_72_A_4,24.33134,TGFb,72,A,4
13356,VIM,TGFb_72_A_4,19.95785,TGFb,72,A,4
13357,TP53BP1,TGFb_72_A_4,25.39049,TGFb,72,A,4
13358,ADAMTS1,TGFb_72_A_4,25.14314,TGFb,72,A,4
13359,B2M,TGFb_72_A_4,22.20127,TGFb,72,A,4
13360,BHLHE40,TGFb_72_A_4,25.71618,TGFb,72,A,4
13361,ITGA1,TGFb_72_A_4,25.22253,TGFb,72,A,4
13362,JUN,TGFb_72_A_4,25.49564,TGFb,72,A,4
13363,LARP6,TGFb_72_A_4,25.95014,TGFb,72,A,4
13364,LOXL2,TGFb_72_A_4,24.43078,TGFb,72,A,4
13365,THBS1,TGFb_72_A_4,20.3566,TGFb,72,A,4
13366,CTGF,TGFb_72_A_4,20.69455,TGFb,72,A,4
13367,EGR2,TGFb_72_A_4,25.09724,TGFb,72,A,4
13368,ENG,TGFb_72_A_4,25.11566,TGFb,72,A,4
13369,FBLN1,TGFb_72_A_4,20.40016,TGFb,72,A,4
13370,PPIA,TGFb_72_A_4,22.83168,TGFb,72,A,4
13371,PTEN,TGFb_72_A_4,23.1801,TGFb,72,A,4
13372,RARG,TGFb_72_A_4,27.07195,TGFb,72,A,4
13373,SERPINE1,TGFb_72_A_4,21.95664,TGFb,72,A,4
13374,VCAN,TGFb_72_A_4,23.66827,TGFb,72,A,4
13375,CAV1,TGFb_72_A_4,22.8377,TGFb,72,A,4
13377,COL1A1,TGFb_72_A_4,17.82345,TGFb,72,A,4
13379,LTBP2,TGFb_72_A_4,22.37469,TGFb,72,A,4
13380,MMP13,TGFb_72_A_4,28.11049,TGFb,72,A,4
13381,MMP2,TGFb_72_A_4,20.58993,TGFb,72,A,4
13382,PDGFA,TGFb_72_A_4,28.48741,TGFb,72,A,4
13383,THBS2,TGFb_72_A_4,22.53475,TGFb,72,A,4
13384,FBN1,TGFb_72_A_4,22.03979,TGFb,72,A,4
13385,FN1,TGFb_72_A_4,17.66285,TGFb,72,A,4
13386,GADD45B,TGFb_72_A_4,24.244,TGFb,72,A,4
13387,HAS2,TGFb_72_A_4,27.98651,TGFb,72,A,4
13388,SERPINE2,TGFb_72_A_4,20.41736,TGFb,72,A,4
13389,SKIL,TGFb_72_A_4,24.8913,TGFb,72,A,4
13390,SMAD7,TGFb_72_A_4,26.94961,TGFb,72,A,4
13391,TGFB1,TGFb_72_A_4,24.56354,TGFb,72,A,4
13392,VEGFA,TGFb_72_A_4,25.43872,TGFb,72,A,4
13394,ACTA2,TGFb_2_D_4,24.62422,TGFb,2,D,4
13395,ATP6AP1,TGFb_2_D_4,24.29272,TGFb,2,D,4
13396,BGN,TGFb_2_D_4,24.18327,TGFb,2,D,4
13397,IL6,TGFb_2_D_4,28.72739,TGFb,2,D,4
13398,ITGA2,TGFb_2_D_4,25.45483,TGFb,2,D,4
13399,JUNB,TGFb_2_D_4,24.1701,TGFb,2,D,4
13400,LOXL1,TGFb_2_D_4,24.36067,TGFb,2,D,4
13401,TGFBR2,TGFb_2_D_4,23.75177,TGFb,2,D,4
13402,COL5A1,TGFb_2_D_4,27.71528,TGFb,2,D,4
13403,DCN,TGFb_2_D_4,21.11876,TGFb,2,D,4
13404,ELN,TGFb_2_D_4,31.31055,TGFb,2,D,4
13405,ETS1,TGFb_2_D_4,26.83492,TGFb,2,D,4
13406,CDKN2A,TGFb_2_D_4,27.37714,TGFb,2,D,4
13407,PSMD14,TGFb_2_D_4,26.26584,TGFb,2,D,4
13408,RARA,TGFb_2_D_4,27.06791,TGFb,2,D,4
13409,RHOB,TGFb_2_D_4,23.7678,TGFb,2,D,4
13410,TIMP3,TGFb_2_D_4,21.85327,TGFb,2,D,4
13411,PPP3CA,TGFb_2_D_4,25.11513,TGFb,2,D,4
13412,CDKN2B,TGFb_2_D_4,29.92944,TGFb,2,D,4
13413,COL1A2,TGFb_2_D_4,20.60685,TGFb,2,D,4
13414,COL4A1,TGFb_2_D_4,25.67293,TGFb,2,D,4
13415,MMP1,TGFb_2_D_4,22.44422,TGFb,2,D,4
13416,MMP14,TGFb_2_D_4,21.81663,TGFb,2,D,4
13417,NOX4,TGFb_2_D_4,29.46541,TGFb,2,D,4
13418,PMEPA1,TGFb_2_D_4,27.53063,TGFb,2,D,4
13419,TIMP1,TGFb_2_D_4,19.18785,TGFb,2,D,4
13420,FGF2,TGFb_2_D_4,26.2073,TGFb,2,D,4
13422,GUSB,TGFb_2_D_4,26.96268,TGFb,2,D,4
13423,ID1,TGFb_2_D_4,24.30995,TGFb,2,D,4
13424,SKI,TGFb_2_D_4,24.93815,TGFb,2,D,4
13425,SMAD3,TGFb_2_D_4,24.08919,TGFb,2,D,4
13426,SPARC,TGFb_2_D_4,21.17641,TGFb,2,D,4
13427,TGFBR1,TGFb_2_D_4,26.71808,TGFb,2,D,4
13428,VIM,TGFb_2_D_4,18.31704,TGFb,2,D,4
13429,TP53BP1,TGFb_2_D_4,25.54481,TGFb,2,D,4
13430,ADAMTS1,TGFb_2_D_4,25.07302,TGFb,2,D,4
13431,B2M,TGFb_2_D_4,20.41109,TGFb,2,D,4
13432,BHLHE40,TGFb_2_D_4,26.00412,TGFb,2,D,4
13433,ITGA1,TGFb_2_D_4,28.04573,TGFb,2,D,4
13434,JUN,TGFb_2_D_4,24.8127,TGFb,2,D,4
13435,LARP6,TGFb_2_D_4,26.21979,TGFb,2,D,4
13436,LOXL2,TGFb_2_D_4,25.93964,TGFb,2,D,4
13437,THBS1,TGFb_2_D_4,20.61338,TGFb,2,D,4
13438,CTGF,TGFb_2_D_4,24.12888,TGFb,2,D,4
13439,EGR2,TGFb_2_D_4,30.46894,TGFb,2,D,4
13440,ENG,TGFb_2_D_4,24.79912,TGFb,2,D,4
13441,FBLN1,TGFb_2_D_4,20.07947,TGFb,2,D,4
13442,PPIA,TGFb_2_D_4,22.63371,TGFb,2,D,4
13443,PTEN,TGFb_2_D_4,25.34293,TGFb,2,D,4
13444,RARG,TGFb_2_D_4,25.88292,TGFb,2,D,4
13445,SERPINE1,TGFb_2_D_4,21.36792,TGFb,2,D,4
13446,VCAN,TGFb_2_D_4,24.6322,TGFb,2,D,4
13447,CAV1,TGFb_2_D_4,21.27788,TGFb,2,D,4
13449,COL1A1,TGFb_2_D_4,21.61424,TGFb,2,D,4
13451,LTBP2,TGFb_2_D_4,22.88973,TGFb,2,D,4
13452,MMP13,TGFb_2_D_4,29.91596,TGFb,2,D,4
13453,MMP2,TGFb_2_D_4,21.01323,TGFb,2,D,4
13454,PDGFA,TGFb_2_D_4,28.78093,TGFb,2,D,4
13455,THBS2,TGFb_2_D_4,23.79725,TGFb,2,D,4
13456,FBN1,TGFb_2_D_4,23.44009,TGFb,2,D,4
13457,FN1,TGFb_2_D_4,18.90964,TGFb,2,D,4
13458,GADD45B,TGFb_2_D_4,24.40592,TGFb,2,D,4
13459,HAS2,TGFb_2_D_4,31.404,TGFb,2,D,4
13460,SERPINE2,TGFb_2_D_4,22.46768,TGFb,2,D,4
13461,SKIL,TGFb_2_D_4,26.28555,TGFb,2,D,4
13462,SMAD7,TGFb_2_D_4,25.61056,TGFb,2,D,4
13463,TGFB1,TGFb_2_D_4,24.66047,TGFb,2,D,4
13464,VEGFA,TGFb_2_D_4,26.09194,TGFb,2,D,4
13466,ACTA2,Control_72_D_4,24.43912,Control,72,D,4
13467,ATP6AP1,Control_72_D_4,24.70612,Control,72,D,4
13468,BGN,Control_72_D_4,24.27354,Control,72,D,4
13469,IL6,Control_72_D_4,27.87643,Control,72,D,4
13470,ITGA2,Control_72_D_4,25.50834,Control,72,D,4
13471,JUNB,Control_72_D_4,27.08101,Control,72,D,4
13472,LOXL1,Control_72_D_4,24.01309,Control,72,D,4
13473,TGFBR2,Control_72_D_4,23.93429,Control,72,D,4
13474,COL5A1,Control_72_D_4,28.44735,Control,72,D,4
13475,DCN,Control_72_D_4,21.27761,Control,72,D,4
13477,ETS1,Control_72_D_4,27.02479,Control,72,D,4
13478,CDKN2A,Control_72_D_4,27.29912,Control,72,D,4
13479,PSMD14,Control_72_D_4,26.63219,Control,72,D,4
13480,RARA,Control_72_D_4,28.0951,Control,72,D,4
13481,RHOB,Control_72_D_4,24.69489,Control,72,D,4
13482,TIMP3,Control_72_D_4,22.32711,Control,72,D,4
13483,PPP3CA,Control_72_D_4,25.41662,Control,72,D,4
13484,CDKN2B,Control_72_D_4,30.54515,Control,72,D,4
13485,COL1A2,Control_72_D_4,20.8455,Control,72,D,4
13486,COL4A1,Control_72_D_4,26.26765,Control,72,D,4
13487,MMP1,Control_72_D_4,25.50014,Control,72,D,4
13488,MMP14,Control_72_D_4,22.17874,Control,72,D,4
13489,NOX4,Control_72_D_4,28.71649,Control,72,D,4
13490,PMEPA1,Control_72_D_4,30.39956,Control,72,D,4
13491,TIMP1,Control_72_D_4,19.55513,Control,72,D,4
13492,FGF2,Control_72_D_4,25.19655,Control,72,D,4
13494,GUSB,Control_72_D_4,26.80292,Control,72,D,4
13495,ID1,Control_72_D_4,27.7129,Control,72,D,4
13496,SKI,Control_72_D_4,25.14438,Control,72,D,4
13497,SMAD3,Control_72_D_4,24.80415,Control,72,D,4
13498,SPARC,Control_72_D_4,21.88548,Control,72,D,4
13499,TGFBR1,Control_72_D_4,26.09597,Control,72,D,4
13500,VIM,Control_72_D_4,18.81053,Control,72,D,4
13501,TP53BP1,Control_72_D_4,24.72968,Control,72,D,4
13502,ADAMTS1,Control_72_D_4,25.12839,Control,72,D,4
13503,B2M,Control_72_D_4,20.32512,Control,72,D,4
13504,BHLHE40,Control_72_D_4,27.82253,Control,72,D,4
13505,ITGA1,Control_72_D_4,27.3736,Control,72,D,4
13506,JUN,Control_72_D_4,23.95833,Control,72,D,4
13507,LARP6,Control_72_D_4,25.58185,Control,72,D,4
13508,LOXL2,Control_72_D_4,27.38978,Control,72,D,4
13509,THBS1,Control_72_D_4,20.67932,Control,72,D,4
13510,CTGF,Control_72_D_4,25.47539,Control,72,D,4
13511,EGR2,Control_72_D_4,30.22779,Control,72,D,4
13512,ENG,Control_72_D_4,24.60218,Control,72,D,4
13513,FBLN1,Control_72_D_4,19.56497,Control,72,D,4
13514,PPIA,Control_72_D_4,23.04854,Control,72,D,4
13515,PTEN,Control_72_D_4,25.21564,Control,72,D,4
13516,RARG,Control_72_D_4,26.44575,Control,72,D,4
13517,SERPINE1,Control_72_D_4,23.22879,Control,72,D,4
13518,VCAN,Control_72_D_4,25.11605,Control,72,D,4
13519,CAV1,Control_72_D_4,21.71253,Control,72,D,4
13521,COL1A1,Control_72_D_4,21.3427,Control,72,D,4
13523,LTBP2,Control_72_D_4,23.50321,Control,72,D,4
13524,MMP13,Control_72_D_4,30.20249,Control,72,D,4
13525,MMP2,Control_72_D_4,21.24095,Control,72,D,4
13526,PDGFA,Control_72_D_4,29.43057,Control,72,D,4
13527,THBS2,Control_72_D_4,24.06873,Control,72,D,4
13528,FBN1,Control_72_D_4,23.21545,Control,72,D,4
13529,FN1,Control_72_D_4,19.60213,Control,72,D,4
13530,GADD45B,Control_72_D_4,27.019,Control,72,D,4
13531,HAS2,Control_72_D_4,NA,Control,72,D,4
13532,SERPINE2,Control_72_D_4,23.43246,Control,72,D,4
13533,SKIL,Control_72_D_4,27.3989,Control,72,D,4
13534,SMAD7,Control_72_D_4,27.91883,Control,72,D,4
13535,TGFB1,Control_72_D_4,25.82071,Control,72,D,4
13536,VEGFA,Control_72_D_4,26.1486,Control,72,D,4
13538,ACTA2,Control_8_D_4,24.85884,Control,8,D,4
13539,ATP6AP1,Control_8_D_4,24.42948,Control,8,D,4
13540,BGN,Control_8_D_4,24.26528,Control,8,D,4
13541,IL6,Control_8_D_4,29.83273,Control,8,D,4
13542,ITGA2,Control_8_D_4,25.71244,Control,8,D,4
13543,JUNB,Control_8_D_4,26.67023,Control,8,D,4
13544,LOXL1,Control_8_D_4,24.23133,Control,8,D,4
13545,TGFBR2,Control_8_D_4,23.99767,Control,8,D,4
13546,COL5A1,Control_8_D_4,28.54123,Control,8,D,4
13547,DCN,Control_8_D_4,21.48504,Control,8,D,4
13549,ETS1,Control_8_D_4,27.00678,Control,8,D,4
13550,CDKN2A,Control_8_D_4,27.33294,Control,8,D,4
13551,PSMD14,Control_8_D_4,27.14873,Control,8,D,4
13552,RARA,Control_8_D_4,28.79142,Control,8,D,4
13553,RHOB,Control_8_D_4,25.26143,Control,8,D,4
13554,TIMP3,Control_8_D_4,21.96026,Control,8,D,4
13555,PPP3CA,Control_8_D_4,25.34196,Control,8,D,4
13556,CDKN2B,Control_8_D_4,31.20543,Control,8,D,4
13557,COL1A2,Control_8_D_4,21.14356,Control,8,D,4
13558,COL4A1,Control_8_D_4,26.1685,Control,8,D,4
13559,MMP1,Control_8_D_4,22.84712,Control,8,D,4
13560,MMP14,Control_8_D_4,21.88763,Control,8,D,4
13561,NOX4,Control_8_D_4,28.83552,Control,8,D,4
13562,PMEPA1,Control_8_D_4,29.42179,Control,8,D,4
13563,TIMP1,Control_8_D_4,19.20783,Control,8,D,4
13564,FGF2,Control_8_D_4,26.22679,Control,8,D,4
13566,GUSB,Control_8_D_4,26.84601,Control,8,D,4
13567,ID1,Control_8_D_4,29.47933,Control,8,D,4
13568,SKI,Control_8_D_4,24.93477,Control,8,D,4
13569,SMAD3,Control_8_D_4,24.27277,Control,8,D,4
13570,SPARC,Control_8_D_4,21.43046,Control,8,D,4
13571,TGFBR1,Control_8_D_4,26.8687,Control,8,D,4
13572,VIM,Control_8_D_4,18.3403,Control,8,D,4
13573,TP53BP1,Control_8_D_4,25.45054,Control,8,D,4
13574,ADAMTS1,Control_8_D_4,25.22172,Control,8,D,4
13575,B2M,Control_8_D_4,20.47423,Control,8,D,4
13576,BHLHE40,Control_8_D_4,28.42442,Control,8,D,4
13577,ITGA1,Control_8_D_4,27.85856,Control,8,D,4
13578,JUN,Control_8_D_4,24.35916,Control,8,D,4
13579,LARP6,Control_8_D_4,26.03075,Control,8,D,4
13580,LOXL2,Control_8_D_4,26.35642,Control,8,D,4
13581,THBS1,Control_8_D_4,20.7054,Control,8,D,4
13582,CTGF,Control_8_D_4,27.12222,Control,8,D,4
13583,EGR2,Control_8_D_4,NA,Control,8,D,4
13584,ENG,Control_8_D_4,24.48899,Control,8,D,4
13585,FBLN1,Control_8_D_4,20.09352,Control,8,D,4
13586,PPIA,Control_8_D_4,22.81178,Control,8,D,4
13587,PTEN,Control_8_D_4,26.01594,Control,8,D,4
13588,RARG,Control_8_D_4,26.2231,Control,8,D,4
13589,SERPINE1,Control_8_D_4,22.59019,Control,8,D,4
13590,VCAN,Control_8_D_4,25.00004,Control,8,D,4
13591,CAV1,Control_8_D_4,21.11874,Control,8,D,4
13593,COL1A1,Control_8_D_4,22.14775,Control,8,D,4
13595,LTBP2,Control_8_D_4,22.85035,Control,8,D,4
13596,MMP13,Control_8_D_4,30.40697,Control,8,D,4
13597,MMP2,Control_8_D_4,21.19182,Control,8,D,4
13598,PDGFA,Control_8_D_4,29.58727,Control,8,D,4
13599,THBS2,Control_8_D_4,24.20722,Control,8,D,4
13600,FBN1,Control_8_D_4,23.64113,Control,8,D,4
13601,FN1,Control_8_D_4,18.9763,Control,8,D,4
13602,GADD45B,Control_8_D_4,27.0115,Control,8,D,4
13603,HAS2,Control_8_D_4,31.1344,Control,8,D,4
13604,SERPINE2,Control_8_D_4,22.64614,Control,8,D,4
13605,SKIL,Control_8_D_4,26.82283,Control,8,D,4
13606,SMAD7,Control_8_D_4,29.92873,Control,8,D,4
13607,TGFB1,Control_8_D_4,24.96575,Control,8,D,4
13608,VEGFA,Control_8_D_4,26.23023,Control,8,D,4
13609,CAV1,Control_3_A_4,21.42936,Control,3,A,4
13611,COL1A1,Control_3_A_4,21.07628,Control,3,A,4
13613,LTBP2,Control_3_A_4,23.69089,Control,3,A,4
13614,MMP13,Control_3_A_4,NA,Control,3,A,4
13615,MMP2,Control_3_A_4,21.09664,Control,3,A,4
13616,PDGFA,Control_3_A_4,28.78107,Control,3,A,4
13617,THBS2,Control_3_A_4,23.67224,Control,3,A,4
13618,FBN1,Control_3_A_4,23.0768,Control,3,A,4
13619,FN1,Control_3_A_4,18.46702,Control,3,A,4
13620,GADD45B,Control_3_A_4,27.34598,Control,3,A,4
13621,HAS2,Control_3_A_4,28.70235,Control,3,A,4
13622,SERPINE2,Control_3_A_4,24.72817,Control,3,A,4
13623,SKIL,Control_3_A_4,26.59819,Control,3,A,4
13624,SMAD7,Control_3_A_4,28.28358,Control,3,A,4
13625,TGFB1,Control_3_A_4,25.03684,Control,3,A,4
13626,VEGFA,Control_3_A_4,26.69613,Control,3,A,4
13628,ACTA2,Control_3_A_4,24.61944,Control,3,A,4
13629,ATP6AP1,Control_3_A_4,24.91063,Control,3,A,4
13630,BGN,Control_3_A_4,24.58381,Control,3,A,4
13631,IL6,Control_3_A_4,29.91628,Control,3,A,4
13632,ITGA2,Control_3_A_4,25.97474,Control,3,A,4
13633,JUNB,Control_3_A_4,26.89422,Control,3,A,4
13634,LOXL1,Control_3_A_4,24.10113,Control,3,A,4
13635,TGFBR2,Control_3_A_4,24.51823,Control,3,A,4
13636,COL5A1,Control_3_A_4,26.86741,Control,3,A,4
13637,DCN,Control_3_A_4,20.82461,Control,3,A,4
13638,ELN,Control_3_A_4,31.39293,Control,3,A,4
13639,ETS1,Control_3_A_4,26.65696,Control,3,A,4
13640,CDKN2A,Control_3_A_4,27.74253,Control,3,A,4
13641,PSMD14,Control_3_A_4,26.90114,Control,3,A,4
13642,RARA,Control_3_A_4,28.93422,Control,3,A,4
13643,RHOB,Control_3_A_4,25.54003,Control,3,A,4
13644,TIMP3,Control_3_A_4,24.48636,Control,3,A,4
13645,PPP3CA,Control_3_A_4,25.01887,Control,3,A,4
13646,CDKN2B,Control_3_A_4,31.99632,Control,3,A,4
13647,COL1A2,Control_3_A_4,20.35918,Control,3,A,4
13648,COL4A1,Control_3_A_4,26.21534,Control,3,A,4
13649,MMP1,Control_3_A_4,24.99112,Control,3,A,4
13650,MMP14,Control_3_A_4,22.2526,Control,3,A,4
13651,NOX4,Control_3_A_4,28.53385,Control,3,A,4
13652,PMEPA1,Control_3_A_4,31.0439,Control,3,A,4
13653,TIMP1,Control_3_A_4,20.62455,Control,3,A,4
13654,FGF2,Control_3_A_4,26.43871,Control,3,A,4
13656,GUSB,Control_3_A_4,26.79586,Control,3,A,4
13657,ID1,Control_3_A_4,27.57078,Control,3,A,4
13658,SKI,Control_3_A_4,25.21797,Control,3,A,4
13659,SMAD3,Control_3_A_4,24.98749,Control,3,A,4
13660,SPARC,Control_3_A_4,21.81134,Control,3,A,4
13661,TGFBR1,Control_3_A_4,27.14454,Control,3,A,4
13662,VIM,Control_3_A_4,17.71747,Control,3,A,4
13663,TP53BP1,Control_3_A_4,25.1733,Control,3,A,4
13664,ADAMTS1,Control_3_A_4,24.45922,Control,3,A,4
13665,B2M,Control_3_A_4,20.60357,Control,3,A,4
13666,BHLHE40,Control_3_A_4,29.47337,Control,3,A,4
13667,ITGA1,Control_3_A_4,27.87414,Control,3,A,4
13668,JUN,Control_3_A_4,24.33373,Control,3,A,4
13669,LARP6,Control_3_A_4,25.90443,Control,3,A,4
13670,LOXL2,Control_3_A_4,26.71681,Control,3,A,4
13671,THBS1,Control_3_A_4,21.38397,Control,3,A,4
13672,CTGF,Control_3_A_4,27.36369,Control,3,A,4
13673,EGR2,Control_3_A_4,NA,Control,3,A,4
13674,ENG,Control_3_A_4,25.03398,Control,3,A,4
13675,FBLN1,Control_3_A_4,20.90174,Control,3,A,4
13676,PPIA,Control_3_A_4,22.61808,Control,3,A,4
13677,PTEN,Control_3_A_4,25.0582,Control,3,A,4
13678,RARG,Control_3_A_4,25.40459,Control,3,A,4
13679,SERPINE1,Control_3_A_4,23.43728,Control,3,A,4
13680,VCAN,Control_3_A_4,24.09292,Control,3,A,4
13681,CAV1,TGFb_12_G_4,21.10617,TGFb,12,G,4
13683,COL1A1,TGFb_12_G_4,20.87053,TGFb,12,G,4
13685,LTBP2,TGFb_12_G_4,21.76252,TGFb,12,G,4
13686,MMP13,TGFb_12_G_4,31.05525,TGFb,12,G,4
13687,MMP2,TGFb_12_G_4,20.36466,TGFb,12,G,4
13688,PDGFA,TGFb_12_G_4,28.68251,TGFb,12,G,4
13689,THBS2,TGFb_12_G_4,23.58479,TGFb,12,G,4
13690,FBN1,TGFb_12_G_4,22.16121,TGFb,12,G,4
13691,FN1,TGFb_12_G_4,16.71223,TGFb,12,G,4
13692,GADD45B,TGFb_12_G_4,24.73469,TGFb,12,G,4
13693,HAS2,TGFb_12_G_4,27.41765,TGFb,12,G,4
13694,SERPINE2,TGFb_12_G_4,20.24934,TGFb,12,G,4
13695,SKIL,TGFb_12_G_4,23.97382,TGFb,12,G,4
13696,SMAD7,TGFb_12_G_4,26.48005,TGFb,12,G,4
13697,TGFB1,TGFb_12_G_4,25.2559,TGFb,12,G,4
13698,VEGFA,TGFb_12_G_4,27.41484,TGFb,12,G,4
13700,ACTA2,TGFb_12_G_4,25.35296,TGFb,12,G,4
13701,ATP6AP1,TGFb_12_G_4,25.05298,TGFb,12,G,4
13702,BGN,TGFb_12_G_4,24.55183,TGFb,12,G,4
13703,IL6,TGFb_12_G_4,30.79895,TGFb,12,G,4
13704,ITGA2,TGFb_12_G_4,27.53353,TGFb,12,G,4
13705,JUNB,TGFb_12_G_4,25.60294,TGFb,12,G,4
13706,LOXL1,TGFb_12_G_4,24.75539,TGFb,12,G,4
13707,TGFBR2,TGFb_12_G_4,23.59809,TGFb,12,G,4
13708,COL5A1,TGFb_12_G_4,28.79596,TGFb,12,G,4
13709,DCN,TGFb_12_G_4,19.62272,TGFb,12,G,4
13710,ELN,TGFb_12_G_4,25.45153,TGFb,12,G,4
13711,ETS1,TGFb_12_G_4,27.02335,TGFb,12,G,4
13712,CDKN2A,TGFb_12_G_4,26.78848,TGFb,12,G,4
13713,PSMD14,TGFb_12_G_4,26.35968,TGFb,12,G,4
13714,RARA,TGFb_12_G_4,28.14685,TGFb,12,G,4
13715,RHOB,TGFb_12_G_4,24.16294,TGFb,12,G,4
13716,TIMP3,TGFb_12_G_4,21.84499,TGFb,12,G,4
13717,PPP3CA,TGFb_12_G_4,24.77114,TGFb,12,G,4
13718,CDKN2B,TGFb_12_G_4,27.54161,TGFb,12,G,4
13719,COL1A2,TGFb_12_G_4,20.84151,TGFb,12,G,4
13720,COL4A1,TGFb_12_G_4,25.47437,TGFb,12,G,4
13721,MMP1,TGFb_12_G_4,21.26021,TGFb,12,G,4
13722,MMP14,TGFb_12_G_4,22.8304,TGFb,12,G,4
13723,NOX4,TGFb_12_G_4,24.64727,TGFb,12,G,4
13724,PMEPA1,TGFb_12_G_4,24.19079,TGFb,12,G,4
13725,TIMP1,TGFb_12_G_4,19.00103,TGFb,12,G,4
13726,FGF2,TGFb_12_G_4,25.33529,TGFb,12,G,4
13728,GUSB,TGFb_12_G_4,27.14832,TGFb,12,G,4
13729,ID1,TGFb_12_G_4,26.98585,TGFb,12,G,4
13730,SKI,TGFb_12_G_4,23.95453,TGFb,12,G,4
13731,SMAD3,TGFb_12_G_4,25.35197,TGFb,12,G,4
13732,SPARC,TGFb_12_G_4,21.089,TGFb,12,G,4
13733,TGFBR1,TGFb_12_G_4,25.44123,TGFb,12,G,4
13734,VIM,TGFb_12_G_4,17.34205,TGFb,12,G,4
13735,TP53BP1,TGFb_12_G_4,25.84285,TGFb,12,G,4
13736,ADAMTS1,TGFb_12_G_4,24.73515,TGFb,12,G,4
13737,B2M,TGFb_12_G_4,20.49668,TGFb,12,G,4
13738,BHLHE40,TGFb_12_G_4,27.04181,TGFb,12,G,4
13739,ITGA1,TGFb_12_G_4,25.2902,TGFb,12,G,4
13740,JUN,TGFb_12_G_4,25.38926,TGFb,12,G,4
13741,LARP6,TGFb_12_G_4,25.52539,TGFb,12,G,4
13742,LOXL2,TGFb_12_G_4,26.28102,TGFb,12,G,4
13743,THBS1,TGFb_12_G_4,20.305,TGFb,12,G,4
13744,CTGF,TGFb_12_G_4,21.63827,TGFb,12,G,4
13745,EGR2,TGFb_12_G_4,31.52212,TGFb,12,G,4
13746,ENG,TGFb_12_G_4,24.02007,TGFb,12,G,4
13747,FBLN1,TGFb_12_G_4,19.56948,TGFb,12,G,4
13748,PPIA,TGFb_12_G_4,22.45675,TGFb,12,G,4
13749,PTEN,TGFb_12_G_4,25.37601,TGFb,12,G,4
13750,RARG,TGFb_12_G_4,26.94765,TGFb,12,G,4
13751,SERPINE1,TGFb_12_G_4,21.58844,TGFb,12,G,4
13752,VCAN,TGFb_12_G_4,22.28399,TGFb,12,G,4
13753,CAV1,TGFb_48_A_4,22.9773,TGFb,48,A,4
13755,COL1A1,TGFb_48_A_4,18.1475,TGFb,48,A,4
13757,LTBP2,TGFb_48_A_4,22.03724,TGFb,48,A,4
13758,MMP13,TGFb_48_A_4,29.99116,TGFb,48,A,4
13759,MMP2,TGFb_48_A_4,20.57055,TGFb,48,A,4
13760,PDGFA,TGFb_48_A_4,28.19839,TGFb,48,A,4
13761,THBS2,TGFb_48_A_4,22.94383,TGFb,48,A,4
13762,FBN1,TGFb_48_A_4,22.01122,TGFb,48,A,4
13763,FN1,TGFb_48_A_4,17.93514,TGFb,48,A,4
13764,GADD45B,TGFb_48_A_4,24.46837,TGFb,48,A,4
13765,HAS2,TGFb_48_A_4,27.51008,TGFb,48,A,4
13766,SERPINE2,TGFb_48_A_4,20.54122,TGFb,48,A,4
13767,SKIL,TGFb_48_A_4,25.07453,TGFb,48,A,4
13768,SMAD7,TGFb_48_A_4,26.15359,TGFb,48,A,4
13769,TGFB1,TGFb_48_A_4,24.30919,TGFb,48,A,4
13770,VEGFA,TGFb_48_A_4,26.14419,TGFb,48,A,4
13772,ACTA2,TGFb_48_A_4,21.78039,TGFb,48,A,4
13773,ATP6AP1,TGFb_48_A_4,25.46286,TGFb,48,A,4
13774,BGN,TGFb_48_A_4,21.49591,TGFb,48,A,4
13775,IL6,TGFb_48_A_4,28.14459,TGFb,48,A,4
13776,ITGA2,TGFb_48_A_4,27.17026,TGFb,48,A,4
13777,JUNB,TGFb_48_A_4,25.52536,TGFb,48,A,4
13778,LOXL1,TGFb_48_A_4,23.19463,TGFb,48,A,4
13779,TGFBR2,TGFb_48_A_4,24.19631,TGFb,48,A,4
13780,COL5A1,TGFb_48_A_4,24.80469,TGFb,48,A,4
13781,DCN,TGFb_48_A_4,20.99586,TGFb,48,A,4
13782,ELN,TGFb_48_A_4,22.74751,TGFb,48,A,4
13783,ETS1,TGFb_48_A_4,27.00732,TGFb,48,A,4
13784,CDKN2A,TGFb_48_A_4,27.98299,TGFb,48,A,4
